time_key,open,high,low,close,volume,time_clean
2026-03-12 00:00:00,409.759825228,413.492682817,396.437471369,405.117489618,31720873.0,2026-03-12
2026-03-13 00:00:00,413.512671345,429.103723122,412.763101548,425.885570127,39260990.0,2026-03-13
2026-03-16 00:00:00,445.904080839,454.599090484,437.493907717,441.546581752,43067574.0,2026-03-16
2026-03-17 00:00:00,452.275424113,462.464476278,444.884765858,461.425172769,43017891.0,2026-03-17
2026-03-18 00:00:00,464.493411804,471.06963749,458.037117286,461.465149825,58973662.0,2026-03-18
2026-03-19 00:00:00,424.726235508,456.957736779,420.868449619,444.01516495,74591901.0,2026-03-19
2026-03-20 00:00:00,443.66036858,448.842394443,415.121847785,422.657422868,64224943.0,2026-03-20
2026-03-23 00:00:00,425.900561523,444.01516495,401.289686521,404.118063222,54807325.0,2026-03-23
2026-03-24 00:00:00,401.049824186,404.747701852,388.686919668,395.303122409,44975061.0,2026-03-24
2026-03-25 00:00:00,382.780309668,388.696913932,371.167974372,381.870831647,55328681.0,2026-03-25
2026-03-26 00:00:00,369.807755047,374.035328703,349.7992386,355.256106722,54515896.0,2026-03-26
2026-03-27 00:00:00,359.653582864,368.488512205,353.85700971,357.015097179,45806655.0,2026-03-27
2026-03-30 00:00:00,362.604238123,362.75421506,318.351043452,321.750520675,73833238.0,2026-03-30
2026-03-31 00:00:00,321.620540664,337.788054397,311.44210592,337.788054397,73551844.0,2026-03-31
2026-04-01 00:00:00,348.851353065,377.831796404,342.947261006,367.793440119,74429797.0,2026-04-01
2026-04-02 00:00:00,341.287516244,366.883480054,340.147691528,366.18368767,51498685.0,2026-04-02
2026-04-06 00:00:00,373.742525259,385.017591361,370.553015747,377.701916377,41414860.0,2026-04-06
2026-04-07 00:00:00,374.067475288,379.191587293,364.044016712,377.521944054,40224123.0,2026-04-07
2026-04-08 00:00:00,415.066170441,415.936036672,398.818669008,406.667462008,49216633.0,2026-04-08
2026-04-09 00:00:00,407.547326701,423.874815833,398.378736662,421.445189465,43100965.0,2026-04-09
2026-04-10 00:00:00,420.22537705,423.794828134,409.986951532,420.525330922,36377568.0,2026-04-10
2026-04-13 00:00:00,416.405964405,426.814363784,408.437189857,426.494412987,37015799.0,2026-04-13
2026-04-14 00:00:00,434.283215212,465.708382598,424.794674376,465.588401049,52534896.0,2026-04-14
2026-04-15 00:00:00,457.554636495,463.878663975,439.252451035,456.159850987,40370110.0,2026-04-15
2026-04-16 00:00:00,452.890353776,462.268911526,444.311673019,457.159697229,33626377.0,2026-04-16
2026-04-17 00:00:00,466.778218077,470.897584594,452.130470632,455.000029346,33405025.0,2026-04-17
2026-04-20 00:00:00,458.179540396,464.488570183,435.832976887,448.351051837,32013562.0,2026-04-20
2026-04-21 00:00:00,451.250605939,457.749606512,441.232146594,449.310904229,27733985.0,2026-04-21
2026-04-22 00:00:00,462.858820809,491.904354139,458.489492731,487.40504605,45998149.0,2026-04-22
